Key,Team,League,Season,Rank,Games,Wins,Draws,Losses,Points,GoalsFor,GoalsAgainst,GoalDifference,Goals,Possession,PassSuccess,CrossesPerGame,ThroughBallsPerGame,LongBallsPerGame,ShortPassesPerGame,OpenPlayGoals,CounterAttackGoals,SetPieceGoals,PenaltyGoals,OwnGoals,TotalTacklesPerGame,DribbledPastPerGame,TotalAttemptedTacklesPerGame,InterceptionsPerGame,FouledPerGame,FoulsPerGame,YellowCardPerGame,RedCardPerGame,OffsidesPerGame,ClearancesPerGame,ShotsBlockedPerGame,CrossesBlockedPerGame,TiotalSavesPerGame,SixYardSavesPerGame,PenaltyAreaSavesPerGame,OutOfBoxSavesPerGame,TotalShotsPerGame,OutOfBoxShotsPerGame,SixYardBoxShotsPerGame,PenaltyAreaShotsPerGame,GoalsPerGame,SixYardGoalsPerGame,PenaltyAreaGoalsPerGame,OutOfBoxGoalsPerGame,UnsuccessfulDribblesPerGame,SuccessfulDribblesPerGame,TotalDribblesPerGame,DisspossedPergame,TotalAerialDuelsPerGame,AerialDuelsWonPerGame,AerialDuelsLostPerGame,TotalPassesPerGame,AccurateLongBallsPerGame,InAccurateLongBallsPerGame,AccShortPassesPerGame,InAccurateShortPassesPerGame,TotalKeyPassesPerGame,LongKeyPassesPerGame,ShortKeyPassesPerGame,CrossAssistPerGame,CornerAssistPerGame,ThroughballAssistPerGame,FreekickAssistPerGame,ThrowInAssistPergame,OtherAssistPerGame,TotalAssistPerGame,ShotsOnTarget,ShotsOnTargetAgainst,ShotsOnTargetPer90,ShotsOnTargetAgainstPer90,Touches,TouchesDefPen,TouchesDefThird,TouchesMidThird,TouchesAttThird,TouchesAttPen,LiveTouches,NumOfPlayersDribbledPast,Nutmegs,Controlled,DistMovedWithBall,ProgressiveDistMoved,ProgC,ProgressiveIntoFinalThird,ProgressiveInto18Yard,Miscontrols,MiscontrolsAfterTackle,ProgressivePassReceived
Newcastle DL 2014/2015,Newcastle,Premier League,2014/2015,15,38,10,9,19,39,40,63,-23,41,48.1,76.9,23,2,63,335,31,1,7,1,0,21.7,8.4,30.2,16.9,11.6,11.4,1.7,0.2,1,27,2.6,2.8,2.6,0.1,1.4,1.1,12.3,5.3,1,6,1.1,0.2,0.7,0.2,11.1,11.7,22.8,12.3,40.8,17.7,23,395.3,25.1,37.5,278.8,54,8.9,1.1,7.9,0.3,0,0,0.1,0,0.4,0.8,140,161,3.684210526,4.236842105,,,,,,,,,,,,,,,,,,
Aston Villa DL 2014/2015,Aston Villa,Premier League,2014/2015,17,38,10,8,20,38,31,57,-26,32,49.1,79,20,0,74,366,18,2,10,1,0,16.4,7.5,23.9,12.7,11.1,10.6,1.8,0.2,1.9,29.7,3.6,3.8,2.9,0.1,1.8,1.1,11,4.4,0.6,5.9,0.8,0.1,0.6,0.1,5,7.6,12.6,10.8,36.8,18.4,18.4,434.7,34.8,37.3,308.5,54,8.1,1.7,6.4,0.2,0,0,0,0,0.3,0.6,127,168,3.342105263,4.421052632,,,,,,,,,,,,,,,,,,
Arsenal DL 2015/2016,Arsenal,Premier League,2015/2016,2,38,20,11,7,71,65,36,29,66,56.9,84.2,20,4,49,513,45,3,13,1,3,18.6,9.6,28.2,19.4,11.4,9.2,1.1,0.1,2.3,22.4,3.4,2.6,3,0.2,1.4,1.4,15.1,4.2,1.4,9.5,1.7,0.4,1.1,0.1,7.2,13,20.2,13.4,28.2,15.2,13.1,559.3,24.8,24.1,446.2,64.2,12.3,1.5,10.8,0.4,0.1,0.3,0.1,0,0.6,1.4,210,148,5.526315789,3.894736842,,,,,,,,,,,,,,,,,,
Leicester DL 2015/2016,Leicester,Premier League,2015/2016,1,38,23,12,3,81,68,36,32,68,44.7,70.5,20,1,72,282,41,5,11,10,1,22.9,11.4,34.3,21.6,9.3,10.7,1.3,0.1,1.3,27.4,4.4,4.4,2.6,0.2,1.4,1,13.7,4.9,1.2,7.6,1.8,0.3,1.4,0.1,9.6,11.3,20.9,9.6,43.7,18.8,24.9,351.8,26.3,44.6,221.7,59.2,10.3,2.2,8,0.4,0.1,0.2,0.1,0,0.5,1.2,179,136,4.710526316,3.578947368,,,,,,,,,,,,,,,,,,
Tottenham DL 2015/2016,Tottenham,Premier League,2015/2016,3,38,19,13,6,70,69,35,34,71,55.3,80.5,20,2,68,427,44,2,17,5,1,21.1,8.3,29.5,17,10.2,11.9,1.9,0,1.9,27.5,3.7,2.6,2.3,0.1,1.2,1,17.3,7.9,0.9,8.5,1.9,0.3,1.2,0.3,7.3,9.5,16.8,15.3,29,14.3,14.8,490.8,32,35.2,363,60.5,13.2,1.9,11.2,0.3,0.1,0.3,0.1,0,0.8,1.3,250,121,6.578947368,3.184210526,,,,,,,,,,,,,,,,,,
Manchester City DL 2015/2016,Manchester City,Premier League,2015/2016,4,38,19,9,10,66,71,41,30,71,55.2,83.1,23,2,56,487,47,5,14,5,0,19.2,12.6,31.7,16.6,10.1,10.8,1.6,0,1.7,24.7,1.7,2.2,2.3,0.1,1.3,0.9,16.2,6.1,1.1,8.9,1.9,0.3,1.2,0.4,7.1,12,19.1,14.6,29.7,15.7,14,539.2,26.5,28.3,421.7,62.7,12.6,1.6,11,0.4,0.2,0.2,0.1,0,0.7,1.4,210,125,5.526315789,3.289473684,,,,,,,,,,,,,,,,,,
West Ham DL 2015/2016,West Ham,Premier League,2015/2016,7,38,16,14,8,62,65,51,14,67,49.1,77.6,21,1,70,332,42,2,16,4,1,18.7,9.7,28.4,17.5,11.8,10.1,1.5,0.1,2.2,26.4,4.2,3,2.9,0.2,1.7,1.1,14.7,6,1.2,7.5,1.8,0.3,1.1,0.3,9.2,10.4,19.6,10.2,33.9,17.7,16.2,395.6,31.4,36.2,275.7,52.3,11.2,2.5,8.7,0.3,0,0.1,0.1,0.1,0.4,1,186,162,4.894736842,4.263157895,,,,,,,,,,,,,,,,,,
Southampton DL 2015/2016,Southampton,Premier League,2015/2016,6,38,18,9,11,63,59,41,18,57,49.3,77.7,25,1,67,355,38,3,13,3,2,18.8,8.7,27.5,18.6,9.6,11,1.5,0.2,2.6,29,3.6,3.2,2.4,0.1,1.4,0.8,13.7,4.8,1,7.9,1.5,0.4,0.9,0.2,4.8,7.1,11.9,11.2,36.3,19.3,17,418.5,31.6,34.4,293.4,59.1,10.6,1.8,8.8,0.5,0.1,0.1,0,0,0.6,1.2,165,133,4.342105263,3.5,,,,,,,,,,,,,,,,,,
Liverpool DL 2015/2016,Liverpool,Premier League,2015/2016,8,38,16,12,10,60,63,50,13,63,55,80.2,21,2,63,460,44,1,15,2,1,22.9,10.2,33.1,14.5,9.9,11.1,1.6,0.1,2.4,22.9,2.9,2.4,2.1,0.1,1.2,0.8,16.6,7.6,0.8,8.1,1.7,0.3,1,0.4,7.1,10.8,17.9,14.8,32.6,16.5,16,519,30,32.3,386.5,70.2,13.1,1.7,11.4,0.3,0.1,0.2,0.1,0,0.8,1.3,199,130,5.236842105,3.421052632,,,,,,,,,,,,,,,,,,
Everton DL 2015/2016,Everton,Premier League,2015/2016,11,38,11,14,13,47,59,55,4,58,51.5,81.4,21,2,73,405,41,3,8,4,3,19.2,9.7,28.9,13.4,10.8,8.3,1.2,0.1,1.4,26.1,4.2,3.9,3.3,0.2,1.6,1.5,12.9,5.1,0.9,6.9,1.5,0.2,1.1,0.2,7.7,11.7,19.4,11.9,27.2,12.9,14.3,472.2,36.4,35.8,347.8,52.3,9.6,1.8,7.8,0.4,0.1,0.2,0,0,0.6,1.1,174,179,4.578947368,4.710526316,,,,,,,,,,,,,,,,,,
Chelsea DL 2015/2016,Chelsea,Premier League,2015/2016,10,38,12,14,12,50,59,53,6,58,54.4,82.5,20,2,62,461,39,1,11,4,4,20.8,10.8,31.6,13.6,12.6,10.6,1.5,0.1,2.4,20.8,3.6,2.6,3.2,0.1,1.8,1.2,13.8,5.4,0.9,7.5,1.5,0.2,0.9,0.3,9.3,12.3,21.6,10.9,28.2,14.1,14.2,517.5,30.3,30.5,396.5,60.2,10.6,1.4,9.3,0.2,0.1,0.2,0.1,0,0.6,1,172,172,4.526315789,4.526315789,,,,,,,,,,,,,,,,,,
Manchester United DL 2015/2016,Manchester United,Premier League,2015/2016,5,38,19,9,10,66,49,35,14,47,55.8,82.3,21,1,71,461,34,2,7,3,3,20,9.9,30,15.6,9.4,12.4,1.7,0,2,19.9,2.5,1.9,2.3,0.1,1.5,0.7,11.3,5.1,0.5,5.7,1.2,0.2,0.8,0.1,8.6,9.8,18.4,13.7,28.4,13.1,15.3,528.1,35.3,34.4,399.5,58.8,8.2,1.1,7.2,0.2,0,0.1,0,0,0.5,0.8,144,120,3.789473684,3.157894737,,,,,,,,,,,,,,,,,,
Watford DL 2015/2016,Watford,Premier League,2015/2016,13,38,12,9,17,45,40,50,-10,40,46.3,72.6,19,1,80,308,23,0,8,6,3,20.9,10.7,31.6,20.2,10.2,12.1,1.9,0.1,1.4,24.6,2.9,3.5,3.2,0.1,1.7,1.4,11.7,5.4,0.5,5.8,1.1,0.2,0.7,0.1,6.3,8.7,15,10.3,34.3,17.4,16.9,382.3,31.5,45.8,246,59,8.2,1.5,6.7,0.2,0.1,0,0,0,0.3,0.5,139,123,3.657894737,3.236842105,,,,,,,,,,,,,,,,,,
Crystal Palace DL 2015/2016,Crystal Palace,Premier League,2015/2016,15,38,11,9,18,42,39,51,-12,40,46.8,74.4,26,0,74,293,19,0,15,4,1,17.1,9.8,26.9,18.4,11.3,12.4,1.6,0.1,2.1,25.3,4.7,2.6,3.2,0.1,1.7,1.4,12.3,5.1,1,6.2,1.1,0.3,0.5,0.2,8.2,10.3,18.4,12.3,35.5,17.8,17.7,362.8,29.2,43.4,240.5,49.7,8.7,2,6.7,0.2,0.1,0,0,0,0.4,0.6,153,168,4.026315789,4.421052632,,,,,,,,,,,,,,,,,,
Sunderland DL 2015/2016,Sunderland,Premier League,2015/2016,17,38,9,12,17,39,48,62,-14,48,43.3,71,16,2,71,270,24,2,15,3,4,20.2,11.4,31.6,14.9,10.1,10.6,1.7,0.1,2.3,33.8,3.8,2.7,4.1,0.2,1.8,2.1,11.6,5.2,0.7,5.6,1.3,0.3,0.7,0.2,6.1,8,14,9.9,34.7,17.3,17.3,336.6,25.6,43.7,213.3,54.1,8.4,1.4,7.1,0.1,0,0.2,0.1,0,0.4,0.7,173,213,4.552631579,5.605263158,,,,,,,,,,,,,,,,,,
Swansea DL 2015/2016,Swansea,Premier League,2015/2016,12,38,12,11,15,47,42,52,-10,43,52,80.9,19,1,65,419,25,3,8,5,1,16.8,9.6,26.3,17.9,11.9,10.3,1.6,0,2.2,27.8,3.5,3.6,3.1,0.2,1.6,1.4,11.6,5.4,0.5,5.7,1.1,0.2,0.7,0.2,5.9,7.9,13.8,12.2,28.8,13.7,15.2,478.1,30.7,32.9,356.2,58.3,8.8,1.2,7.6,0.3,0,0.1,0,0,0.3,0.7,135,165,3.552631579,4.342105263,,,,,,,,,,,,,,,,,,
Stoke DL 2015/2016,Stoke,Premier League,2015/2016,9,38,14,9,15,51,41,55,-14,41,50,79.1,18,2,63,371,29,0,6,5,1,18.7,10.7,29.3,15.2,10.1,11,1.3,0.1,2.7,21.7,3.9,2.8,3.2,0.1,2,1.1,11,5.3,0.7,5.1,1.1,0.3,0.6,0.2,7.7,10.6,18.3,9.4,30.9,16.4,14.5,430.1,28.3,34.3,311.9,55.5,8.3,1.1,7.3,0.4,0,0.1,0.1,0,0.3,0.8,127,175,3.342105263,4.605263158,,,,,,,,,,,,,,,,,,
Newcastle DL 2015/2016,Newcastle,Premier League,2015/2016,18,38,9,10,19,37,44,65,-21,44,47.4,76.6,21,1,69,333,28,4,8,3,1,20.8,9.8,30.6,16.9,9.5,11,1.6,0.1,1.6,24.7,4.1,3.1,3,0.2,1.7,1.1,10.4,3.6,0.5,6.3,1.2,0.2,0.8,0.2,9.9,9.7,19.6,11.4,29.9,13.9,16,397.5,30.8,36.9,273.8,56,8.4,1.6,6.8,0.3,0.1,0.2,0,0,0.4,0.9,150,178,3.947368421,4.684210526,,,,,,,,,,,,,,,,,,
